method,category,n_patients,n_gold_grouping_opportunity,n_with_group_claim,pairwise_grouping_precision_macro_mean,pairwise_grouping_precision_n_evaluable,pairwise_grouping_recall_macro_mean,pairwise_grouping_recall_n_evaluable,pairwise_grouping_f1_macro_mean,pairwise_grouping_f1_n_evaluable,explicit_membership_recall_macro_mean,explicit_membership_recall_n_evaluable,contrastive_linkage_macro_mean,contrastive_linkage_n_evaluable,gold_pair_count,predicted_pair_count,true_positive_pair_count,pairwise_grouping_precision_micro,pairwise_grouping_recall_micro,pairwise_grouping_f1_micro,exact_pair_set_agreement_mean,exact_pair_set_agreement_n_evaluable,exact_pair_set_agreement_with_opportunity_mean,exact_pair_set_agreement_with_opportunity_n_evaluable,spurious_group_claim_rate_no_opportunity,spurious_group_claim_n_evaluable
map_free_gemini,mild,10,10,10,0.89,10,0.6333333333333333,10,0.630952380952381,10,0.7777777777777778,9,0.95,10,29,18,13,0.7222222222222222,0.4482758620689655,0.5531914893617021,0.3,10,0.3,10,,0
map_free_gemini,moderate,10,9,9,0.5555555555555556,9,0.5555555555555556,9,0.46772486772486777,9,0.861111111111111,6,1.0,10,21,20,11,0.55,0.5238095238095238,0.5365853658536585,0.2,10,0.1111111111111111,9,0.0,1
map_free_gemini,no_falls,10,8,10,0.5833333333333333,10,0.7916666666666666,8,0.5900000000000001,10,0.9333333333333332,5,1.0,10,10,16,7,0.4375,0.7,0.5384615384615384,0.5,10,0.625,8,1.0,2
map_free_gemini,overall,30,27,29,0.6804597701149425,29,0.6543209876543209,27,0.5661740558292282,29,0.8416666666666666,20,0.9833333333333333,30,60,54,31,0.5740740740740741,0.5166666666666667,0.543859649122807,0.3333333333333333,30,0.3333333333333333,27,0.6666666666666666,3
